ชื่อวิชา,รหัสวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,description,CLOs
" ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",01001317,3,คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"ความสำคัญของภาคการเกษตร หลักการพัฒนาการเกษตร  ทิศทางการเกษตรไทย ระบบการเกษตรและแนวโน้มการเปลี่ยนแปลง  ผู้นำกับการเปลี่ยนแปลงบริบทโลก พลวัตผู้นำภาคการเกษตร
บทบาทและภาวะผู้นำต่อภาคการเกษตร ผู้นำกับการพัฒนาการเกษตรในภาครัฐ ภาคเอกชน และองค์การไม่แสวงหากำไร ผู้นำกับการพัฒนาเครือข่ายการเกษตร วิถีชีวิตและคุณค่าของภาคการเกษตร",ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. สรุปความสำคัญและแนวโน้มการเปลี่ยนแปลงของภาคการเกษตร 2. วิเคราะห์การเปลี่ยนแปลงของการพัฒนาการเกษตรไทย 3. ระบุบทบาทของผู้นำภาคการเกษตร 4. นำเสนอชิ้นงานความเชื่อมโยงบทบาทของผู้นำกับการเปลี่ยนแปลงภาคการเกษตร
" เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",01005101,3,คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",course_info,"ผลกระทบจากโลกาภิวัตน์ต่อการเกษตร การเกษตรสมัยใหม่ เทคโนโลยีพื้นฐาน
ทางการเกษตร การใช้เทคโนโลยีก้าวหน้าในการเกษตร สินค้าเกษตรปลอดภัย พลังงาน
สีเขียว",ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. เลือกใช้เทคโนโลยีเกษตรสมัยใหมไ่ ด้ 2. แสดงออกถึงความสำคัญของการใช้เทคโนโลยีเพื่อการอนุรักษ์สิ่งแวดล้อมได้
" มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",01009102,3,คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",course_info,"ความสำคัญของทรัพยากรธรรมชาติกับการดำรงชีวิตมนุษย์ ประเภทของ
ทรัพยากร สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศโลก ผลกระทบของการใช้
ทรัพยากรธรรมชาติต่อการดำรงชีวิต แนวทางการอนุรักษ์ทรัพยากรธรรมชาติเพื่อ
ประโยชน์สูงสุดโดยไม่เกิดผลเสียต่อสิ่งแวดล้อม

",ผลลัพธท์ ี่เกิดขึ้นกับนิสิต 1. อธิบายความสำคัญของทรัพยากรธรรมชาติที่มีต่อมนุษย์ 2. แสดงความเชื่อมโยงการกระทำของมนุษย์ที่มีผลกระทบต่อทรัพยากรธรรมชาติ 3. เสนอวิธีการเพื่อรณรงค์การอนุรักษ์ทรัพยากรธรรมชาติประเภทต่าง ๆ ได้ 4. ทำงานร่วมกันอย่างมีประสิทธิภาพ 5. สื่อสารได้อย่างถูกต้องตามหลักการนำเสนอที่ดี 6. รับรู้ถึงผลกระทบของกิจกรรมมนุษย์ที่มีต่อทรัพยากรธรร
" เกษตรวิถีไทย
 (Thai Livelihood Agriculture)",01015202,3,คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง",course_info,"ประวัติการเกษตรของชาติไทย เกษตรกับชีวิตประจำวัน ภูมิปัญญาท้องถิ่นด้าน
การเกษตร การปลูกพืชและเลี้ยงสัตว์ในปัจจุบัน การใช้ประโยชน์จากผลผลิตและของ
เหลือทางการเกษตร",ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายความสำคัญของการเกษตรต่อคุณภาพชีวิตทั้งผู้ผลิต ผู้บริโภค และอธิบายบทบาทของ การเกษตรที่มีต่อสังคมและสิ่งแวดล้อมได้ 2. วิเคราะห์ความเชื่อมโยงองค์ความรู้ที่เกี่ยวข้องกับวิถีการทำเกษตรในอดีต ปัจจุบัน และอนาคตได้ 3. นำเสนอชิ้นงานความเชื่อมโยงบทบาทของเกษตรกรกับวิถีการทำเกษตรในประเทศไทยได้ 4. อธิบายคุณค่าของวิถีการทำเกษตรแบบไทย
" เศรษฐศาสตร์ทั่วไปในกระแสโลกาภิวัตน์
 (General Economics in Globalization)",01101101,3,คณะเศรษฐศาสตร์,ศาสตร์แห่งผู้ประกอบการ,4 - ด้านทักษะการคิด,course_info,"เศรษฐศาสตร์และโลกรอบตัวเรา ระบบเศรษฐกิจ และรูปแบบการประกอบ
ธุรกิจ การประยุกต์ตลาด อุปสงค์และอุปทานในชีวิตประจำวัน พฤติกรรมผู้บริโภค
หน่วยผลิต ความเชื่อมโยงเศรษฐกิจไทยและเศรษฐกิจโลก ปัญหาทางเศรษฐกิจ
ที่สำคัญ การเงินการธนาคารและการคลังในชีวิตประจำวัน เศรษฐกิจไทยในกระแส
โลกาภิวัตน์ และเศรษฐกิจดิจิทัล",ผลลัพธ์ทเกี่ ิดขึ้นกับนสิิต 1. อธิบายหลักเศรษฐศาสตร์ได้อย่างถูกต้อง 2. จำแนกข้อดีข้อเสียความสำคัญ ประโยชนและผลกระทบท ์ ี่เกี่ยวข้องกับเศรษฐศาสตร์ได
" การเงินสำหรับผู้ประกอบการ
 (Finance for Entrepreneurs)",01131111,3,คณะบริหารธุรกิจ,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด",course_info,ความสัมพันธ์ของเงินทุนต่อการดำเนินธุรกิจ แหล่งเงินทุนและการพยากรณ์ความต้องการ เงินทุน การแสวงเงินทุน การจัดสรรเงินทุนอย่างมีประสิทธิภาพ การบริหารความเสี่ยงทางการเงิน สำหรับผู้ประกอบการจะช่วยให้ผู้ประกอบการสามารถดำเนินธุรกิจไปได้อย่างราบรื่น,1. อธิบายแนวคิดพื้นฐานที่เกี่ยวข้องกับการเป็นผู้ประกอบการได้ 2. ประยุกต์เครื่องมือทางการเงินเพื่อการเป็นผู้ประกอบการได้ 3. วิเคราะห์สภาพแวดล้อมในการดำเนินธุรกิจเพื่อใช้ในการจัดทำรายงานแผนธุรกิจได้ 4. สืบค้นข้อมูลและนำเสนอข้อมูลแผนธุรกิจผ่านการนำเสนอปากเปล่าและการใช้เครื่องมือ นำเสนอในรูปแบบต่าง ๆ ได
" เอดส์ศึกษา
 (AIDS Education)",01173151,2,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,ประวัติความเป็นมาของโรคเอดส์สาเหตุของโรค การติดเชื้อ การแพร่เชื้อเอชไอวีลักษณะ อาการของผู้ป่วยโรคเอดส์การแบ่งการติดเชื้อเอชไอวีในระยะต่าง ๆ สถานการณ์ของโรคเอดส์ เอดส์กับสังคม การดูแลผู้ติดเชื้อเอชไอวีความก้าวหน้าในการศึกษาและวิจัยโรคเอดส์เทคโนโลยี ทางการแพทย์ที่เกี่ยวข้องกับการรักษาโรคเอดส์ในปัจจุบันและสวัสดิการการรักษาพยาบาล การปฏิบัติตนให้ปลอดภัยจากโรคเอดส์การประชาสัมพันธ์ให้ความรู้เรื่องโรคเอดส์แก่กลุ่มเพื่อน ครอบครัวและชุมชน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายประวัติความหมาย และสาเหตุของโรคเอดส์ได้อย่างถูกต้อง 2. ยกตัวอย่างพฤติกรรมเสี่ยงและอธิบายการดำเนินโรคเอดส์รวมถึงวิธีป้องกันได้ 3. สร้างสื่อประชาสัมพันธ์และเผยแพร่เพื่อให้ความรู้แก่บุคคลอื่น 4. แสดงความคิดเห็นเชิงบวกเกี่ยวกับการอยู่ร่วมกันกับผู้ติดเชื้อเอชไอวี/ ผู้ป่วยโรคเอดส์ในสังคม
" ค่ายพักแรมนันทนาการ
 (Recreation Camp)",01174123,2,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,ประวัติปรัชญา และประโยชน์ของค่ายพักแรมและนันทนาการ ประเภทของค่ายพักแรม กิจกรรมนันทนาการในค่ายพักแรม การอนุรักษ์ธรรมชาติและสิ่งแวดล้อม อุปกรณ์ค่ายพักแรม การเลือกสถานที่ตั้งค่ายพักแรม กฎการอยู่ค่ายพักแรม การประกอบอาหารในค่ายพักแรม การเตรียม เสื้อผ้าและสิ่งจำเป็นในการอยู่ค่ายพักแรม การปฐมพยาบาล การเตรียมยานพาหนะในการเดินทางไป ค่ายพักแรม,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ทำงานร่วมกับผู้อื่นเพื่อแก้ปัญหาได้ 2. เสนอแนะวิธีการอนุรักษ์ธรรมชาติได้ 3. อธิบายประโยชน์ของค่ายพักแรมและนันทนาการได้ 4. ออกแบบและวางแผนกิจกรรมค่ายพักแรมนันทนาการที่ช่วยส่งเสริมคุณภาพชีวิตของบุคคล ทุกเพศทุกวัย
" นันทนาการเบื้องต้น
 (Introduction to Recreation)",01174231,2,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,ประวัติปรัชญา ความหมาย แนวคิดและทฤษฎีเกี่ยวกับนันทนาการและการใช้เวลาว่าง การศึกษาการใช้เวลาว่าง นันทนาการและการใช้เวลาว่างในแต่ละช่วงชีวิต นันทนาการบำบัด การจัดการนันทนาการและการใช้เวลาว่าง กีฬาเชิงนันทนาการ นันทนาการเชิงพาณิชย์และ การท่องเที่ยว นันทนาการเพื่อคุณภาพชีวิต บทบาทของผู้นำนันทนาการ โปรแกรมนันทนาการ และการใช้เวลาว่าง นันทนาการกลางแจ้งและค่ายพักแรม การเรียนรู้วัฒนธรรมอาเซียน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. อธิบายประวัติปรัชญา และความหมายของนันทนาการและการใช้เวลาว่าง 2. วางแผน ออกแบบ พัฒนา กิจกรรมนันทนาการที่ช่วยส่งเสริมคุณภาพชีวิตของบุคคลทุกเพศทุกวัย 3. แสดงออกถึงการเป็นผู้นำในการจัดกิจกรรมนันทนาการให้กับบุคคลอื่นได้ 4. ออกแบบกิจกรรมนันทนาการเพื่อส่งเสริมสุขภาวะองค์รวมของตนเองได้
" กรีฑาลู่-ลาน เพื่อสุขภาพ 
 (Track and Field for Health)",01175111,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การออกกำลังกายด้วยกรีฑาลู่-ลาน ทักษะและความรู้พื้นฐานการวิ่ง การทุ่ม การพุ่ง และการขว้าง การประยุกต์กิจกรรมกรีฑาลู่-ลานไปสู่การเคลื่อนไหวในชีวิตประจำวันเพื่อส่งเสริม สุขภาพ,ผลลัพธ์ที่เกิดข้นกึ ับนิสิต 1. ออกแบบโปรแกรมออกกำลังกายด้วยกิจกรรมกรีฑาลู่-ลานที่เหมาะสมสำหรับตนเองเพื่อพัฒนา สมรรถภาพทางกายเพื่อสุขภาพได้ 2. พัฒนาทักษะกรีฑาลู่-ลานที่ถูกต้องเพื่อพัฒนาสมรรถภาพทางกายเพื่อสุขภาพได้ 3. แสดงออกซึ่งการมีวินัยรับผิดชอบ ตรงต่อเวลาและซื่อสัตย์
" แบดมินตันเพื่อสุขภาพ 
 (Badminton for Health)",01175112,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การออกกำลังกายด้วยกีฬาแบดมินตัน ทักษะและความรู้พื้นฐานการเล่นแบดมินตัน การประยุกต์กีฬาแบดมินตันไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. วางแผนการออกกำลังกายด้วยการเล่นกีฬาแบดมินตันประเภทเดี่ยว และประเภทคู่ เพื่อพัฒนาสมรรถภาพทางกายเพื่อสุขภาพได้อย่างเหมาะสม 2. พัฒนาทักษะการเคลื่อนไหวพื้นฐานและทักษะการเล่นกีฬาแบดมินตันที่ถูกต้อง เพื่อพัฒนา สมรรถภาพทางกายเพื่อสุขภาพของตนเองได้ 3. แสดงถึงบทบาทการเป็นผู้นำและผู้ตามในบริบทของสังคมการออกกำลังกายด้วยการเล่นกีฬา แบดมินตันร่วมกัน
" เทนนิสเพื่อสุขภาพ 
 (Tennis for Health)",01175113,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การออกกำลังกายด้วยกีฬาเทนนิส ทักษะและความรู้พื้นฐานการเล่นเทนนิส การประยุกต์ กีฬาเทนนิสไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. วางแผนการออกกำลังกายด้วยการเล่นกีฬาเทนนิสประเภทเดี่ยว และประเภทคู่ เพื่อพัฒนา สมรรถภาพทางกายเพื่อสุขภาพได้อย่างเหมาะสม 2. พัฒนาทักษะการเคลื่อนไหวพื้นฐานและทักษะการเล่นกีฬาเทนนิสที่ถูกต้อง เพื่อพัฒนา สมรรถภาพทางกายเพื่อสุขภาพของตนเองได้ 3. แสดงถึงบทบาทการเป็นผู้นำและผู้ตามในบริบทของสังคมการออกกำลังกายด้วยการเล่นกีฬา เทนนิสร่วมกัน
