รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,reviewId,review
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,6733695599a191d5c9526749,เรียนเซคออนไลน์ผ่านแอป Webex โดยเนื้อหาแต่ละบทอาจารย์จะเวียนกันมาสอนหลายๆ คน มีการเช็คชื่อ มีการเก็บคะแนนจากการตอบคำถามในกูเกิ้ลฟอร์มประมาณ 3-4 ครั้ง นอกนั้นจะเป็นงานทำคลิปวิดีโอเกี่ยวกับผู้นำการเกษตรที่ชื่นชอบหรือนวัตกรรมการเกษตรที่ชื่นชอบ ไม่มีสอบมิดเทอม มีสอบไฟนอล (เลือกได้ว่าจะสอบแบบออนไลน์หรือสอบที่มอ) เนื้อหาเยอะแต่ไม่ยาก แนะนำซื้อสรุปไฟนอลมาอ่านได้เลย ออกค่อนข้างตรงกับที่ซื้อมา สามารถเรียนคนเดียวได้ ไม่มีงานกลุ่ม
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,67317d3f99a191d5c9526729,เนื้อหาง่าย ไม่เคร่งเรื่องแต่งกาย เช็คชื่อทุกคาบ เนื้อหาต้องท่องจำ
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,6666beb499a191d5c9526639,เรียนซัมเมอร์ คนเรียนเยอะมากกกก เนื้อหาก็ตามชื่อวิชาเลย การพัฒนาภาคการเกษตร มีงานประมาณ  5 งาน งานเดี่ยวหมด ตอนคำถามใน google form 4 งาน อีกงานให้ทำวิดีโอ งานง่าย เรียนเลิกเร็ว ไม่เกิน 3 ชั่วโมงแน่นอน ต้องเข้าทุกคาบ เพราะพี่ TA จะแคปหน้าจอเพื่อเช็คชื่อ สอบแค่ไฟนอล ไม่ยากกก เหมาะกับเก็บเอ!
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,6616359899a191d5c95265b8,วิชาเก็บเอเก็บใจ ได้เรียนเซคใหญ่คนหลักพันเลยเรียนออนไลน์ตลอดทั้งเทอม ทีเอจะเช็กชื่อทุกคาบ (มีคะแนนเช็กชื่อ) มีงานอยู่ประปรายกับงานใหญ่ให้ทำวิดีโอพรีเซนต์ผู้นำภาคการเกษตรที่เราชื่นชอบ เป็นงานเดี่ยวทั้งหมด สอบแค่ไฟนอล 60 คะแนน ใครขยันเข้าเรียน+ส่งงานครบหมด A นอนมาแน่นอนครับ
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,655f5d7099a191d5c95264cd,เรียนตอนซัมเมอร์ ออนไลน์ล้วน เข้าไปนั่งเฉยๆไม่ฟังเลยก็ได้ มีงานให้อัดคลิปวิดีโออันนึง นอกนั้นไม่ได้ทำอะไร รอสอบไฟนอลทีเดียว เป็นสอบ google form ไม่ยาก แต่เยอะหน่อย มาเรียนคนเดียวรอด เอง่ายสุดๆ
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",review,655e2e4399a191d5c95264b2,"จุดแข็ง เนื้อหาเยอะมากๆๆๆ จุดอ่อน ตอนบอกแนว บอกหมด บอกยันเฉลย 5655
- เช็คชื่อทุกคาบ TA ล็อกที่นั่ง ห้ามย้าย
- วันหยุดก็เรียน นัดเรียนใน webex
- คนสอนเยอะมาก หลากหลายสไตล์สุดๆ
- มีงานเรื่อยๆ แล้วแต่อาจารย์จะสั่ง เดดไลน์ อาทิตย์นึง
- มีงานจบให้ทำคลิปเกี่ยวกับผู้นำทางการเกษตรหรือนวัตกรรมการเกษตร
- มีสอบปลายภาค เป็น google form แต่อาจารย์บอกข้อสอบหมดเปลือก ชิวสุดๆ"
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,69244bcb99a191d5c9526af9,มีเช็คชื่อทุกคาบ ส่วนใหญ่จะเช็คช่วงท้ายคาบ  ไม่เคร่งเรื่องแต่งกาย  เนื้อหาต้องท่องจำเยอะมาก เก็บเออาจจะไม่เหมาะ สอบต้องจำเยอะมาก ข้อสอบมีร้อยข้อ++ มีศัพท์เฉพาะเกี่ยวกับการเกษตรเยอะ งานแล้วแต่อาจารย์แต่ละคน บางท่านอาจให้งานบางท่านไม่ให้ ส่วนใหญ่จะเป็นกูเกิ้ลฟอร์มเล็ก ๆ ไม่ได้ยากมาก มีงานกลุ่ม 1 งาน แต่สามารถหาเพื่อนในเซคได้
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,6916d67f99a191d5c9526a6b,เช็คชื่อทุกคาบ มีงานกลุ่ม 1 งาน การบ้านขึ้นอยู่กับอาจารย์ที่สอนแต่ละท่าน ง่ายๆค่ะ มีทั้งในฟอร์ม ใบงาน ส่งครบก็ได้คะแนนเก็บเต็ม มีคะแนนเช็คชื่อ สอบมิดเทอม-ปลายภาค ส่วนตัวเราไม่ค่อยตั้งใจฟังในคาบอ่านสไลด์ที่อาจารย์สอนผ่านๆตา ก็ทำได้ค่ะ
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,67f7412699a191d5c95268dc,เป็นวิชาที่แต่ละคาบเปลี่ยนผู้สอนเรื่อยๆ มีเนื้อหาค่อนข้างเยอะครับ มีเช็คชื่อในกระดาษทุกคาบ แต่ข้อสอบทั้งมิดเทอมและไฟนอลไม่ยากเลย เรียนคนเดียวได้
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,67d280b899a191d5c9526887,เช็คชื่อทุกคาบ แต่เพื่อนบางคนเข้าสายบางคนไม่เข้า ผมเขาทุกคาบ คะแนนได้เยอะกว่าเพื่อน ตลอด แต่ได้ B เพื่อนที่ไม่ทำไรได้ A ขอดูคะแนนจาก TA ก็ไม่ให้ดู
